order_id,order_date,city,category,product_name,quantity,unit_price,discount_pct,total_amount,customer_id,return_flag,sales_channel,payment_method
DT-20240069,2024-01-01,Ibadan,Home & Garden,Table Lamp,1,24.03,0,24.03,CUST-0139,N,Online,Cash
DT-20240027,2024-01-02,Abuja,Home & Garden,Table Lamp,4,26.68,0,106.72,CUST-0034,N,Online,Card
DT-20240073,2024-01-02,Abuja,Beauty & Health,Face Moisturiser,4,18.72,0,74.88,CUST-0077,N,In-Store,Bank Transfer
DT-20240215,2024-01-03,Enugu,Electronics,USB-C Hub,4,25.03,15,85.1,CUST-0053,N,In-Store,Bank Transfer
DT-20240362,2024-01-04,Port Harcourt,Electronics,Wireless Headphones,5,49.33,0,246.65,CUST-0031,N,Online,Cash
DT-20240191,2024-01-05,Lagos,Books & Stationery,Notebook A5,2,7.34,15,12.48,CUST-0117,N,In-Store,Cash
DT-20240232,2024-01-05,Lagos,Electronics,Wireless Headphones,2,47.5,0,95.0,CUST-0088,N,Marketplace,Bank Transfer
DT-20240249,2024-01-05,Jos,Sports & Outdoors,Yoga Mat,2,26.61,0,53.22,CUST-0001,N,Online,Cash
DT-20240280,2024-01-07,Kaduna,Toys & Games,Board Game,3,33.64,5,95.87,CUST-0160,N,Phone,Bank Transfer
DT-20240326,2024-01-07,Port Harcourt,Books & Stationery,Fountain Pen,5,17.63,5,83.74,CUST-0007,N,Online,Bank Transfer
DT-20240300,2024-01-08,Owerri,Clothing,Running Shoes,2,64.52,0,129.04,CUST-0136,N,In-Store,Card
DT-20240192,2024-01-09,Port Harcourt,Food & Drink,Herbal Tea Pack,3,10.68,0,32.04,CUST-0071,N,Online,Bank Transfer
DT-20240150,2024-01-12,Lagos,Sports & Outdoors,Yoga Mat,2,29.37,5,55.8,CUST-0101,N,Marketplace,Card
DT-20240355,2024-01-12,Abuja,Clothing,Cotton T-Shirt,2,15.18,0,30.36,CUST-0033,N,Online,Cash
DT-20240102,2024-01-14,Ibadan,Food & Drink,Coffee Beans 1kg,6,21.19,10,114.43,CUST-0169,N,Online,Bank Transfer
DT-20240124,2024-01-14,Kano,Clothing,Denim Jeans,1,42.31,15,35.96,CUST-0102,N,Online,Wallet
DT-20240207,2024-01-14,Jos,Clothing,Cotton T-Shirt,1,16.06,20,12.85,CUST-0119,Y,Online,Cash
DT-20240481,2024-01-14,Abuja,Electronics,USB-C Hub,3,25.62,10,69.17,CUST-0022,N,Online,Cash
DT-20240243,2024-01-16,Abuja,Electronics,Bluetooth Speaker,4,33.82,0,135.28,CUST-0110,N,Online,Cash
DT-20240340,2024-01-16,Kano,Clothing,Ankara Dress,1,46.29,15,39.35,CUST-0137,N,In-Store,Cash
DT-20240455,2024-01-16,Abuja,Electronics,Bluetooth Speaker,5,36.88,0,184.4,CUST-0097,N,Phone,Card
DT-20240406,2024-01-17,Lagos,Clothing,Ankara Dress,2,43.39,0,86.78,CUST-0125,N,Online,Card
DT-20240445,2024-01-17,Ibadan,Beauty & Health,Face Moisturiser,1,18.16,10,16.34,CUST-0155,N,Marketplace,
DT-20240453,2024-01-19,Ibadan,Electronics,Smart Watch,4,126.77,15,431.02,CUST-0124,N,In-Store,Bank Transfer
